ID;Nome;Localidade;Profissao
35252399;Ricarda Picanço;Braga    Amares    Prozelo    653    300;Engenheiro químico
16540299;Lisandro Barrocas;Viseu    Tabuaço    Adorigo    420    1 055;Fisioterapeuta
36494943;Ermelinda Rebotim;Santarem    Abrantes    Pego    2 570     3 608;Engenheiro agrónomo
70807547;Angélica Inês;Viana do castelo    Ponte de Lima    Queijada    328    290;Programador / Desenvolvedor de software
30016576;Dário Baptista;Beja    Beja    Trindade    345    9 863;Gestor de projetos IT
77862820;Efigênia Castanho;Guarda    Seia    Alvoco da Serra    646    3 757;Estafeta
27482045;Fausto Zambujal;Braga    Guimarães    Urgezes    5 124     462;Bombeiro
71358202;Faustina Torres;Coimbra    Tábua    Mouronho    984    2 402;Rececionista de hotel
15306164;Geraldina Belchiorinho;Leiria    Pombal    Guia    2 726     3 791;Músico
30645858;Alfeu Calçada;Santarem    Santarem    Póvoa da Isenta    1 162     1 390;Bombeiro
68847702;Romeu Andrade;Viseu    Sátão    Decermilo    215    439;Comercial / vendedor
30941846;Muriel Sarmento;Guarda    Fornos de Algodres    Matança    312    1 377;Solicitador
56577692;Emanuela Mirandela;Viseu    Moimenta da Beira    Paradinha    133    629;Assistente social
64747378;Isaías Lagos;Castelo Branco    Vila Velha de Ródão    Vila Velha de Ródão    2 056     9 041;Psicólogo
59499684;Amanda Leão;Viseu    Moimenta da Beira    Peva    513    1 992;Rececionista de hotel
12140176;Amado Alcoforado;Braga    Amares    Fiscal    638    406;Animador turístico
31581354;Alzira Peçanha;Faro    Silves    Armação de Pêra    3 770     915;Enfermeiro
22072864;Hugo Carvalhosa;Vila Real    Mondim de Basto    Campanhó    350    1 306;Web designer
39346891;Isilda Feijó;Porto    Póvoa de Varzim    Aguçadoura    4 530     347;Cabeleireiro
10078438;Núbia Rufino;Lisboa    Mafra    Igreja Nova    2 280     2 562;Técnico ambiental
47579315;Veloso Inês;Viseu    Carregal do Sal    Sobral    292    511;Pescador
83888303;Luis Vilaverde;Viseu    Moimenta da Beira    Caria    579    1 582;Professor
11074394;Adonirã Olivares;Açores    Praia da Vitória    Fontinhas    1 541     1 709;Engenheiro mecânico
94970958;Horácio Alancastro;Viana do castelo    Valença    Fontoura    737    913;Cabeleireiro
52976517;Madalena Olivares;Viana do castelo    Arcos de Valdevez    Aguiã    732    235;Gestor de e-commerce
57398603;Arlete Lustosa;Guarda    Sabugal    Bismula    198    1 544;Gestor de transportes
44883721;Nídia Boaventura;Porto    Maia    Nogueira    4 478     408;Enfermeiro
77702762;Francelina Caminha;Guarda    Guarda    Arrifana    735    1 716;Barman
33941362;Bráulio Carvalhal;Aveiro    Águeda    Barrô    2 040     647;Serralheiro
54765298;Amanda Bethecourt;Guarda    Figueira de Castelo Rodrigo    Figueira de Castelo Rodrigo    2 253     3 405;Cuidador de idosos
78763669;Loreta Resende;Porto    Vila do Conde    Modivas    1 899     408;Fisioterapeuta
10353189;Nelma Beça;Lisboa    Loures    Fanhões    2 698     1 162;Pintor
71290815;Albino Azambuja;Braga    Guimarães    Arosa    674    196;Juiz
86559405;Josué Granjeiro;Viseu    Cinfães    Alhões    284    1 066;Engenheiro industrial
12063477;Eustácia Carvalheira;Viana do castelo    Ponte de Lima    Anais    1 176     766;Enfermeiro
57381021;Helga Castel-Branco;Lisboa    Lisboa    S. Mamede    6 004     60;Especialista em inteligência artificial
24317341;Igor Oliveira;Santarem    Abrantes    Aldeia do Mato    560    3 140;Estafeta
68508213;Dalva Teodoro;Bragança    Macedo de Cavaleiros    Vale de Prados    413    881;Comercial / vendedor
10161254;Erasmo Xavier;Braga    Celorico de Basto    Gémeos    626    368;Especialista em inteligência artificial
48620296;Bernardo Medeiros;Aveiro    Castelo de Paiva    Paraíso    975    2 485;Analista de investimentos
15824296;Francisca Macedo;Beja    Castro Verde    Casével    365    3 334;Rececionista de hotel
88424107;Gilberta Salgueiro;Viana do castelo    Viana do Castelo    Portuzelo    3 809     672;Engenheiro informático
19219275;Milton Lago;Viseu    Viseu    Couto de Baixo    780    1 120;Maquinista
11033977;António Campelo;Setúbal    Setúbal    Gâmbia-Pontes-Alto da Guerra    4 076     3 287;Operador logístico
44724586;Sabino Miranda;Aveiro    Espinho    Espinho    10 225     154;Técnico ambiental
17566133;Dinarte Castelo;Braga    Vila Verde    Marrancos    548    329;Fisioterapeuta
53434405;Nazaré Damásio;Braga    Vila Nova de Famalicão    Bente    959    130;Segurança privado
20458407;Délia Portugal;Viana do castelo    Ponte da Barca    Vade (S. Pedro)    288    270;Veterinário
84545682;Maristela Boga;Viana do castelo    Ponte de Lima    Boalhosa    215    214;Jornalista
40387680;Gonçalo Doutiz;Aveiro    Ílhavo    Ílhavo (S. Salvador)    16 760     4 168;Estafeta
19860762;Íris Baldaia;Guarda    Sabugal    Lomba    74    545;Programador / Desenvolvedor de software
23162488;Dalila Rios;Braga    Vila Verde    DosS.s    511    394;Empreendedor
56515868;Albano Canhão;Viseu    Viseu    Lordosa    1 884     2 326;Técnico ambiental
81862935;Cesário Escobar;Viseu    S. João da Pesqueira    Vale de Figueira    585    1 039;Assistente social
64905481;Isaías Mourinho;Porto    Paredes    Recarei    4 686     1 663;Videógrafo
19891889;Bianca Cachão;Viseu    Viseu    Cota    1 281     4 050;Fisioterapeuta
19620371;Evandro Maltez;Faro    Olhão    Olhão    14 749     943;Professor
22827841;Isaura Mederos;Porto    Amarante    Candemil    1 039     1 125;Engenheiro mecânico
17710273;Jussara Quintella;Bragança    Mogadouro    Ventozelo    189    2 397;Barman
19783603;Emílio Esteves;Bragança    Macedo de Cavaleiros    Arcas    389    2 312;Engenheiro mecânico
16997064;Luca Sosa;Beja    Castro Verde    Entradas    774    7 592;Pedreiro
15052407;Firmina Ginjeira;Aveiro    Sta. Maria da Feira    Caldas de S. Jorge    2 728     470;Economista
21684827;Sidney Mondragão;Bragança    Vila Flor    Sampaio    192    892;Especialista em marketing digital
48195883;Edson Bulhões;Braga    Póvoa de Lanhoso (N. S. do Amparo)    Monsul    806    339;Carpinteiro
30804899;Patrícia Sant'Anna;Viana do castelo    Monção    Bela    685    422;Solicitador
31938339;Diva Canadas;Açores    Horta    Capelo    493    2 593;Fisioterapeuta
